YSR,tshell,Dyolk,φMXene,Asurface,iontype,rion,Eads,ΔGformation,DOSFermi,dinterlayer,Ea,σmax,epsilon_void,Surface_Term,C_theoretical,CE_initial,Crate,Stability_mech,C_0.1C,Retention_200,sigma_eff
0.581,39.9,170.4,0.377,597,Li,0.76,-0.803,-1.423,0.517,9.53,0.287,0.617,52.2,O,3579,99.01,94.04,1,2021,96.52,38.34
0.651,24.9,189.6,0.247,493,Li,0.76,-0.723,-1.283,0.447,10.03,0.347,1.053,44.7,O,3579,97.77,87.44,1,1784,91.74,22.44
0.821,17.7,210.4,0.147,383,Na,1.02,-0.477,-0.917,0.247,12.03,0.677,2.453,54.7,OH,3120,94.07,60.14,0,1084,74.04,6.04
0.601,29.7,175.4,0.353,593,Li,0.76,-0.697,-1.247,0.443,9.93,0.363,0.887,40.3,O,3579,98.43,90.64,1,1884,94.04,32.84
0.731,19.9,204.6,0.217,463,Na,1.02,-0.547,-1.047,0.307,11.53,0.577,1.813,49.7,F,3120,95.77,68.14,0,1324,80.24,12.54
0.561,37.9,165.4,0.397,609,Li,0.76,-0.777,-1.377,0.497,9.63,0.303,0.657,47.7,O,3579,98.91,93.24,1,1994,96.14,40.44
0.681,23.9,195.4,0.297,553,Li,0.76,-0.657,-1.177,0.387,10.23,0.403,1.123,43.7,O,3579,97.47,88.04,1,1819,92.44,26.74
0.751,16.6,214.6,0.187,403,K,1.38,-0.503,-0.953,0.267,12.13,0.637,2.283,59.7,F,2950,94.77,63.44,0,1154,76.74,9.14
0.587,32.3,171.6,0.363,598,Li,0.76,-0.727,-1.297,0.463,9.83,0.337,0.817,41.3,O,3579,98.57,91.84,1,1919,94.94,35.14
0.801,19.1,207.6,0.157,393,Na,1.02,-0.487,-0.927,0.257,11.93,0.657,2.373,56.7,OH,3120,94.47,61.74,0,1104,74.94,6.74
0.571,36.6,167.6,0.387,608,Li,0.76,-0.773,-1.357,0.487,9.73,0.313,0.687,46.3,O,3579,98.77,93.54,1,2004,96.34,39.74
0.627,27.3,181.6,0.333,588,Li,0.76,-0.687,-1.227,0.417,10.03,0.373,0.957,43.3,O,3579,97.97,88.84,1,1864,93.44,29.44
0.711,23.6,197.6,0.267,508,K,1.38,-0.603,-1.123,0.353,12.17,0.537,1.483,48.7,F,2950,95.97,71.44,0,1394,82.74,18.14
0.607,29.3,177.6,0.343,591,Li,0.76,-0.713,-1.263,0.433,9.93,0.357,0.897,41.3,O,3579,98.27,89.94,1,1889,94.14,31.44
0.767,17.3,217.6,0.167,413,Na,1.02,-0.513,-0.963,0.277,11.93,0.627,2.187,55.7,OH,3120,94.77,62.44,0,1119,76.14,7.34
0.541,37.3,161.6,0.407,618,Li,0.76,-0.787,-1.397,0.507,9.63,0.303,0.647,49.3,O,3579,99.07,93.74,1,2009,96.74,41.14
0.657,26.3,187.6,0.287,543,Li,0.76,-0.673,-1.187,0.397,10.13,0.387,1.087,43.7,O,3579,97.67,87.74,1,1804,91.94,25.74
0.741,21.3,201.6,0.237,483,K,1.38,-0.573,-1.083,0.327,12.43,0.567,1.673,50.7,F,2950,95.87,69.44,0,1339,80.94,15.14
0.637,28.3,184.6,0.307,578,Li,0.76,-0.703,-1.243,0.437,9.93,0.347,0.927,42.3,O,3579,98.17,89.44,1,1874,93.74,27.94
0.787,18.7,211.6,0.157,388,Na,1.02,-0.503,-0.943,0.267,11.97,0.647,2.343,57.7,OH,3120,94.57,60.94,0,1094,74.74,6.44
0.577,34.3,170.6,0.367,601,Li,0.76,-0.763,-1.337,0.487,9.73,0.323,0.707,47.3,O,3579,98.67,92.74,1,1974,95.84,37.14
0.687,22.7,196.6,0.277,523,Li,0.76,-0.683,-1.203,0.407,10.17,0.377,1.097,44.7,O,3579,97.87,88.24,1,1839,92.74,24.44
0.757,19.7,209.6,0.197,433,K,1.38,-0.533,-1.003,0.297,12.53,0.597,2.043,58.7,F,2950,95.47,66.74,0,1249,79.14,10.74
0.607,30.7,175.6,0.353,595,Li,0.76,-0.723,-1.273,0.453,9.77,0.337,0.847,39.7,O,3579,98.47,90.94,1,1904,94.74,33.74
0.807,16.3,219.6,0.137,373,Na,1.02,-0.473,-0.903,0.237,12.23,0.697,2.593,59.7,OH,3120,93.87,59.14,0,1049,72.94,5.14
0.553,38.3,164.6,0.397,611,Li,0.76,-0.813,-1.443,0.527,9.53,0.277,0.597,50.3,O,3579,99.17,94.24,1,2034,96.94,39.94
0.667,25.7,191.6,0.307,569,Li,0.76,-0.693,-1.223,0.423,9.97,0.367,1.017,42.7,O,3579,97.97,88.44,1,1834,92.74,27.14
0.727,22.7,198.6,0.257,503,K,1.38,-0.583,-1.093,0.337,12.27,0.557,1.573,49.7,F,2950,96.07,70.74,0,1364,81.44,16.74
0.597,32.3,174.6,0.373,592,Li,0.76,-0.743,-1.323,0.473,9.77,0.327,0.777,44.7,O,3579,98.57,92.14,1,1949,95.44,36.44
0.827,17.8,213.6,0.147,378,Na,1.02,-0.493,-0.913,0.247,12.13,0.667,2.487,58.7,OH,3120,94.27,60.44,0,1069,74.14,5.74
0.577,37.2,166.6,0.387,606,Li,0.76,-0.793,-1.393,0.507,9.57,0.297,0.657,47.7,O,3579,98.97,93.74,1,2014,96.64,39.14
0.647,27.2,184.6,0.333,586,Li,0.76,-0.713,-1.253,0.433,9.87,0.357,0.927,42.7,O,3579,98.27,89.74,1,1884,94.04,30.04
0.707,24.2,196.6,0.293,533,Li,0.76,-0.673,-1.173,0.397,10.27,0.387,1.147,46.7,O,3579,97.77,87.44,1,1809,92.14,24.94
0.777,20.2,205.6,0.213,443,K,1.38,-0.543,-1.023,0.307,12.47,0.587,1.937,54.7,F,2950,95.67,67.44,0,1279,79.74,11.44
0.617,30.2,177.6,0.343,591,Li,0.76,-0.733,-1.283,0.463,9.77,0.347,0.867,41.7,O,3579,98.37,90.74,1,1909,94.54,32.14
0.807,17.7,210.6,0.173,398,Na,1.02,-0.503,-0.943,0.277,11.87,0.647,2.307,56.7,OH,3120,94.67,62.14,0,1114,75.44,7.14
0.567,38.2,163.6,0.407,616,Li,0.76,-0.823,-1.453,0.537,9.47,0.267,0.577,51.7,O,3579,99.27,94.44,1,2039,97.14,41.74
0.687,23.5,193.6,0.303,551,Li,0.76,-0.683,-1.193,0.413,10.17,0.377,1.077,43.7,O,3579,97.87,87.94,1,1829,92.54,26.44
0.747,21.5,200.6,0.253,493,K,1.38,-0.563,-1.063,0.317,12.57,0.577,1.737,52.7,F,2950,95.97,68.94,0,1329,80.44,14.14
0.637,28.5,182.6,0.323,581,Li,0.76,-0.703,-1.243,0.443,9.87,0.357,0.937,43.7,O,3579,98.17,89.14,1,1869,93.84,28.94
0.797,18.8,208.6,0.183,408,Na,1.02,-0.513,-0.953,0.283,11.77,0.637,2.237,55.7,OH,3120,94.87,63.14,0,1134,76.74,7.94
0.587,35.2,169.6,0.383,603,Li,0.76,-0.773,-1.373,0.503,9.67,0.307,0.707,47.7,O,3579,98.87,92.94,1,1984,95.94,37.74
0.667,26.5,188.6,0.303,563,Li,0.76,-0.693,-1.213,0.423,9.97,0.367,0.997,43.7,O,3579,98.07,88.74,1,1844,92.94,27.74
0.717,22.9,197.6,0.273,513,K,1.38,-0.593,-1.113,0.347,12.27,0.547,1.507,48.7,F,2950,96.17,71.14,0,1374,81.94,17.44
0.607,31.2,175.6,0.353,593,Li,0.76,-0.723,-1.273,0.453,9.77,0.347,0.857,40.7,O,3579,98.47,91.14,1,1899,94.64,33.44
0.619,28.4,179.4,0.324,581,Li,0.76,-0.684,-1.214,0.416,10.06,0.384,0.919,42.1,O,3579,98.18,89.24,1,1859,93.36,28.76
0.774,15.2,219.4,0.176,423,Na,1.02,-0.516,-0.976,0.29,11.81,0.606,2.094,58.1,OH,3120,95.22,64.74,0,1202,78.34,8.12
0.554,34.6,160.6,0.416,617,Li,0.76,-0.746,-1.346,0.476,9.74,0.324,0.691,38.4,O,3579,98.65,92.64,1,1974,95.72,42.02
0.706,21.6,200.6,0.284,514,K,1.38,-0.586,-1.096,0.344,12.26,0.554,1.444,47.6,F,2950,96.23,71.82,0,1382,82.22,18.82
0.579,40.2,169.6,0.376,595,Li,0.76,-0.804,-1.424,0.516,9.54,0.286,0.614,52.4,O,3579,99.03,94.02,1,2023,96.56,38.32
0.653,24.8,189.4,0.246,494,Li,0.76,-0.724,-1.284,0.446,10.04,0.346,1.056,44.6,O,3579,97.75,87.42,1,1782,91.72,22.42
0.819,18.2,209.4,0.146,384,Na,1.02,-0.476,-0.916,0.246,12.04,0.676,2.456,54.6,OH,3120,94.05,60.12,0,1082,74.02,6.02
0.599,29.4,175.6,0.354,594,Li,0.76,-0.696,-1.246,0.446,9.94,0.364,0.891,40.4,O,3579,98.45,90.62,1,1882,94.02,32.82
0.733,19.8,204.4,0.216,464,Na,1.02,-0.546,-1.046,0.306,11.54,0.576,1.816,49.6,F,3120,95.75,68.12,0,1322,80.22,12.52
0.559,38.2,164.6,0.396,613,Li,0.76,-0.776,-1.376,0.496,9.64,0.304,0.661,47.4,O,3579,98.93,93.22,1,1992,96.12,40.42
0.683,23.7,194.4,0.296,554,Li,0.76,-0.656,-1.176,0.386,10.24,0.404,1.126,43.6,O,3579,97.45,88.02,1,1817,92.42,26.72
0.749,16.8,214.4,0.186,404,K,1.38,-0.504,-0.954,0.266,12.14,0.636,2.286,59.6,F,2950,94.75,63.42,0,1152,76.72,9.12
0.589,31.4,172.4,0.364,599,Li,0.76,-0.726,-1.296,0.464,9.84,0.336,0.821,41.4,O,3579,98.55,91.82,1,1917,94.92,35.12
0.799,19.3,207.4,0.156,394,Na,1.02,-0.486,-0.926,0.256,11.94,0.656,2.376,56.6,OH,3120,94.45,61.72,0,1102,74.92,6.72
0.569,36.8,167.4,0.386,609,Li,0.76,-0.774,-1.354,0.486,9.74,0.314,0.691,46.4,O,3579,98.75,93.52,1,2002,96.32,39.72
0.629,27.6,181.4,0.334,589,Li,0.76,-0.684,-1.224,0.414,10.04,0.374,0.961,43.4,O,3579,97.95,88.82,1,1862,93.42,29.42
0.709,23.8,197.4,0.264,509,K,1.38,-0.604,-1.124,0.354,12.16,0.536,1.486,48.6,F,2950,95.95,71.42,0,1392,82.72,18.12
0.609,28.4,178.4,0.344,592,Li,0.76,-0.714,-1.264,0.434,9.94,0.354,0.901,41.4,O,3579,98.25,89.92,1,1887,94.12,31.42
0.769,17.4,217.4,0.164,414,Na,1.02,-0.514,-0.964,0.284,11.94,0.624,2.184,55.4,OH,3120,94.75,62.42,0,1117,76.12,7.32
0.539,37.4,160.4,0.404,619,Li,0.76,-0.784,-1.394,0.504,9.64,0.304,0.651,49.4,O,3579,99.05,93.72,1,2007,96.72,41.12
0.659,26.6,187.4,0.284,544,Li,0.76,-0.674,-1.184,0.394,10.14,0.384,1.091,43.4,O,3579,97.65,87.72,1,1802,91.92,25.72
0.739,21.4,200.4,0.234,484,K,1.38,-0.574,-1.084,0.324,12.44,0.564,1.674,50.4,F,2950,95.85,69.42,0,1337,80.92,15.12
0.639,27.4,186.4,0.304,579,Li,0.76,-0.704,-1.244,0.444,9.94,0.344,0.931,42.4,O,3579,98.15,89.42,1,1872,93.72,27.92
0.789,18.8,210.4,0.154,389,Na,1.02,-0.504,-0.944,0.264,11.99,0.644,2.344,57.9,OH,3120,94.55,60.92,0,1092,74.72,6.42
0.579,33.4,171.4,0.364,602,Li,0.76,-0.764,-1.334,0.484,9.74,0.324,0.711,47.4,O,3579,98.65,92.72,1,1972,95.82,37.12
0.689,22.4,197.4,0.274,524,Li,0.76,-0.684,-1.204,0.404,10.19,0.374,1.101,44.9,O,3579,97.85,88.22,1,1837,92.72,24.42
0.759,19.8,208.4,0.194,434,K,1.38,-0.534,-1.004,0.294,12.54,0.594,2.044,58.4,F,2950,95.45,66.72,0,1247,79.12,10.72
0.609,30.4,174.4,0.354,596,Li,0.76,-0.724,-1.274,0.454,9.74,0.334,0.844,39.4,O,3579,98.45,90.92,1,1902,94.72,33.72
0.809,15.8,219.4,0.134,374,Na,1.02,-0.474,-0.904,0.234,12.24,0.694,2.594,59.4,OH,3120,93.85,59.12,0,1047,72.92,5.12
0.554,38.4,163.4,0.394,613,Li,0.76,-0.814,-1.444,0.524,9.54,0.274,0.594,50.4,O,3579,99.15,94.22,1,2032,96.92,39.92
0.669,25.4,192.4,0.304,568,Li,0.76,-0.694,-1.224,0.424,9.94,0.364,1.014,42.4,O,3579,97.95,88.42,1,1832,92.72,27.12
0.729,22.9,197.4,0.254,504,K,1.38,-0.584,-1.094,0.334,12.24,0.554,1.574,49.4,F,2950,96.05,70.72,0,1362,81.42,16.72
0.599,31.4,175.4,0.374,590,Li,0.76,-0.744,-1.324,0.474,9.74,0.324,0.774,44.4,O,3579,98.55,92.12,1,1947,95.42,36.42
0.829,17.9,212.4,0.144,379,Na,1.02,-0.494,-0.914,0.244,12.14,0.664,2.484,58.4,OH,3120,94.25,60.42,0,1067,74.12,5.72
0.579,37.1,165.4,0.384,607,Li,0.76,-0.794,-1.394,0.504,9.54,0.294,0.664,47.4,O,3579,98.95,93.72,1,2012,96.62,39.12
0.649,26.9,183.4,0.334,587,Li,0.76,-0.714,-1.254,0.434,9.84,0.354,0.924,42.4,O,3579,98.25,89.72,1,1882,94.02,30.02
0.709,24.1,195.4,0.294,534,Li,0.76,-0.674,-1.174,0.394,10.29,0.384,1.154,46.9,O,3579,97.75,87.42,1,1807,92.12,24.92
0.779,19.9,204.4,0.214,444,K,1.38,-0.544,-1.024,0.304,12.49,0.584,1.934,54.4,F,2950,95.65,67.42,0,1277,79.72,11.42
0.619,29.9,178.4,0.344,587,Li,0.76,-0.734,-1.284,0.464,9.74,0.344,0.874,41.4,O,3579,98.35,90.72,1,1907,94.52,32.12
0.809,17.6,209.4,0.174,399,Na,1.02,-0.504,-0.944,0.284,11.84,0.644,2.304,56.4,OH,3120,94.65,62.12,0,1112,75.42,7.12
0.569,38.1,162.4,0.404,617,Li,0.76,-0.824,-1.454,0.534,9.44,0.264,0.574,51.4,O,3579,99.25,94.42,1,2037,97.12,41.72
0.689,23.3,192.4,0.304,552,Li,0.76,-0.684,-1.194,0.414,10.19,0.374,1.074,43.9,O,3579,97.85,87.92,1,1827,92.52,26.42
0.749,21.3,199.4,0.254,494,K,1.38,-0.564,-1.064,0.314,12.59,0.574,1.734,52.9,F,2950,95.95,68.92,0,1327,80.42,14.12
0.639,28.3,181.4,0.324,583,Li,0.76,-0.704,-1.244,0.444,9.84,0.354,0.944,43.4,O,3579,98.15,89.12,1,1867,93.82,28.92
0.799,18.7,207.4,0.184,409,Na,1.02,-0.514,-0.954,0.289,11.74,0.634,2.234,55.4,OH,3120,94.85,63.12,0,1132,76.72,7.92
0.589,34.9,170.4,0.384,597,Li,0.76,-0.774,-1.374,0.504,9.64,0.304,0.714,47.4,O,3579,98.85,92.92,1,1982,95.92,37.72
0.669,26.3,187.4,0.304,564,Li,0.76,-0.694,-1.214,0.424,9.94,0.364,0.994,43.4,O,3579,98.05,88.72,1,1842,92.92,27.72
0.719,22.7,196.4,0.274,514,K,1.38,-0.594,-1.114,0.344,12.24,0.544,1.504,48.4,F,2950,96.15,71.12,0,1372,81.92,17.42
0.609,30.9,174.4,0.354,594,Li,0.76,-0.724,-1.274,0.454,9.74,0.344,0.854,40.4,O,3579,98.45,91.12,1,1897,94.62,33.42
0.621,28.6,178.8,0.325,579,Li,0.76,-0.685,-1.215,0.417,10.05,0.385,0.921,42,O,3579,98.19,89.26,1,1861,93.38,28.78
0.772,15.3,219.2,0.175,424,Na,1.02,-0.515,-0.975,0.289,11.82,0.605,2.092,58.2,OH,3120,95.2,64.7,0,1200,78.3,8.1
0.556,34.4,160.8,0.415,615,Li,0.76,-0.745,-1.345,0.475,9.75,0.325,0.695,38.5,O,3579,98.63,92.7,1,1971,95.7,42
0.708,21.4,200.8,0.285,515,K,1.38,-0.585,-1.095,0.345,12.25,0.555,1.441,47.5,F,2950,96.25,71.8,0,1380,82.2,18.8
0.577,40.4,169.2,0.375,593,Li,0.76,-0.805,-1.425,0.515,9.55,0.285,0.611,52.6,O,3579,99.05,94,1,2025,96.58,38.3
0.655,24.6,189.2,0.245,495,Li,0.76,-0.725,-1.285,0.445,10.05,0.345,1.059,44.5,O,3579,97.73,87.4,1,1780,91.7,22.4
0.817,18.3,209.2,0.145,385,Na,1.02,-0.475,-0.915,0.245,12.05,0.675,2.459,54.5,OH,3120,94.03,60.1,0,1080,74,6
0.597,29.2,175.8,0.355,595,Li,0.76,-0.695,-1.245,0.447,9.95,0.365,0.895,40.5,O,3579,98.47,90.6,1,1880,94,32.8
0.735,19.6,204.2,0.215,465,Na,1.02,-0.545,-1.045,0.305,11.55,0.575,1.819,49.5,F,3120,95.73,68.1,0,1320,80.2,12.5
0.557,38.4,164.2,0.395,615,Li,0.76,-0.775,-1.375,0.495,9.65,0.305,0.665,47.2,O,3579,98.95,93.2,1,1990,96.1,40.4
0.685,23.5,194.2,0.295,555,Li,0.76,-0.655,-1.175,0.385,10.25,0.405,1.129,43.5,O,3579,97.43,88,1,1815,92.4,26.7
0.747,17,214.2,0.185,405,K,1.38,-0.505,-0.955,0.265,12.15,0.635,2.289,59.5,F,2950,94.73,63.4,0,1150,76.7,9.1
0.591,31.2,172.8,0.365,600,Li,0.76,-0.725,-1.295,0.465,9.85,0.335,0.825,41.5,O,3579,98.53,91.8,1,1915,94.9,35.1
0.797,19.4,207.2,0.155,395,Na,1.02,-0.485,-0.925,0.255,11.95,0.655,2.379,56.5,OH,3120,94.43,61.7,0,1100,74.9,6.7
0.567,37,167.2,0.385,610,Li,0.76,-0.775,-1.355,0.485,9.75,0.315,0.695,46.5,O,3579,98.73,93.5,1,2000,96.3,39.7
0.631,27.8,181.2,0.335,590,Li,0.76,-0.685,-1.225,0.415,10.05,0.375,0.965,43.5,O,3579,97.93,88.8,1,1860,93.4,29.4
0.707,24,197.2,0.265,510,K,1.38,-0.605,-1.125,0.355,12.15,0.535,1.489,48.5,F,2950,95.93,71.4,0,1390,82.7,18.1
0.611,28.2,178.8,0.345,593,Li,0.76,-0.715,-1.265,0.435,9.95,0.355,0.905,41.5,O,3579,98.23,89.9,1,1885,94.1,31.4
0.771,17.6,217.2,0.165,415,Na,1.02,-0.515,-0.965,0.285,11.95,0.625,2.181,55.2,OH,3120,94.73,62.4,0,1115,76.1,7.3
0.537,37.6,159.8,0.405,620,Li,0.76,-0.785,-1.395,0.505,9.65,0.305,0.655,49.6,O,3579,99.03,93.7,1,2005,96.7,41.1
0.661,26.9,187.2,0.285,545,Li,0.76,-0.675,-1.185,0.395,10.15,0.385,1.095,43.2,O,3579,97.63,87.7,1,1800,91.9,25.7
0.737,21.6,200.2,0.235,485,K,1.38,-0.575,-1.085,0.325,12.45,0.565,1.677,50.2,F,2950,95.83,69.4,0,1335,80.9,15.1
0.641,27.2,186.8,0.305,580,Li,0.76,-0.705,-1.245,0.445,9.95,0.345,0.935,42.5,O,3579,98.13,89.4,1,1870,93.7,27.9
0.791,18.9,210.2,0.155,390,Na,1.02,-0.505,-0.945,0.265,12.01,0.645,2.347,58.1,OH,3120,94.53,60.9,0,1090,74.7,6.4
0.581,33.2,171.2,0.365,603,Li,0.76,-0.765,-1.335,0.485,9.75,0.325,0.715,47.5,O,3579,98.63,92.7,1,1970,95.8,37.1
0.691,22.2,197.8,0.275,525,Li,0.76,-0.685,-1.205,0.405,10.21,0.375,1.105,44.1,O,3579,97.83,88.2,1,1835,92.7,24.4
0.761,19.9,208.2,0.195,435,K,1.38,-0.535,-1.005,0.295,12.55,0.595,2.047,58.2,F,2950,95.43,66.7,0,1245,79.1,10.7
0.611,30.2,174.2,0.355,597,Li,0.76,-0.725,-1.275,0.455,9.72,0.335,0.841,39.2,O,3579,98.43,90.9,1,1900,94.7,33.7
0.811,15.6,219.2,0.135,375,Na,1.02,-0.475,-0.905,0.235,12.25,0.695,2.597,59.2,OH,3120,93.83,59.1,0,1045,72.9,5.1
0.556,38.6,163.2,0.395,615,Li,0.76,-0.815,-1.445,0.525,9.55,0.275,0.591,50.5,O,3579,99.13,94.2,1,2030,96.9,39.9
0.671,25.2,192.8,0.305,567,Li,0.76,-0.695,-1.225,0.425,9.92,0.365,1.011,42.2,O,3579,97.93,88.4,1,1830,92.7,27.1
0.731,23.1,197.2,0.255,505,K,1.38,-0.585,-1.095,0.335,12.22,0.555,1.577,49.2,F,2950,96.03,70.7,0,1360,81.4,16.7
0.601,31.2,175.2,0.375,588,Li,0.76,-0.745,-1.325,0.475,9.72,0.325,0.771,44.2,O,3579,98.53,92.1,1,1945,95.4,36.4
0.831,18,212.2,0.145,380,Na,1.02,-0.495,-0.915,0.245,12.12,0.665,2.481,58.2,OH,3120,94.23,60.4,0,1065,74.1,5.7
0.581,37,165.2,0.385,608,Li,0.76,-0.795,-1.395,0.505,9.52,0.295,0.661,47.2,O,3579,98.93,93.7,1,2010,96.6,39.1
0.651,26.6,183.2,0.335,588,Li,0.76,-0.715,-1.255,0.435,9.82,0.355,0.921,42.2,O,3579,98.23,89.7,1,1880,94,30
0.711,24,195.2,0.295,535,Li,0.76,-0.675,-1.175,0.395,10.32,0.385,1.157,47.2,O,3579,97.73,87.4,1,1805,92.1,24.9
0.781,20,204.2,0.215,445,K,1.38,-0.545,-1.025,0.305,12.52,0.585,1.931,54.2,F,2950,95.63,67.4,0,1275,79.7,11.4
0.621,29.6,178.2,0.345,585,Li,0.76,-0.735,-1.285,0.465,9.72,0.345,0.871,41.2,O,3579,98.33,90.7,1,1905,94.5,32.1
0.811,17.4,209.2,0.175,400,Na,1.02,-0.505,-0.945,0.285,11.82,0.645,2.301,56.2,OH,3120,94.63,62.1,0,1110,75.4,7.1
0.571,38,162.2,0.405,618,Li,0.76,-0.825,-1.455,0.535,9.42,0.265,0.571,51.2,O,3579,99.23,94.4,1,2035,97.1,41.7
0.691,23.1,192.2,0.305,553,Li,0.76,-0.685,-1.195,0.415,10.22,0.375,1.071,44.2,O,3579,97.83,87.9,1,1825,92.5,26.4
0.751,21.1,199.2,0.255,495,K,1.38,-0.565,-1.065,0.315,12.62,0.575,1.731,53.2,F,2950,95.93,68.9,0,1325,80.4,14.1
0.641,28.1,181.2,0.325,585,Li,0.76,-0.705,-1.245,0.445,9.82,0.355,0.941,43.2,O,3579,98.13,89.1,1,1865,93.8,28.9
0.801,18.6,207.2,0.185,410,Na,1.02,-0.515,-0.955,0.291,11.72,0.635,2.231,55.2,OH,3120,94.83,63.1,0,1130,76.7,7.9
0.591,34.6,170.2,0.385,595,Li,0.76,-0.775,-1.375,0.505,9.62,0.305,0.711,47.2,O,3579,98.83,92.9,1,1980,95.9,37.7
0.671,26.1,187.2,0.305,565,Li,0.76,-0.695,-1.215,0.425,9.92,0.365,0.991,43.2,O,3579,98.03,88.7,1,1840,92.9,27.7
0.721,22.5,196.2,0.275,515,K,1.38,-0.595,-1.115,0.345,12.22,0.545,1.501,48.2,F,2950,96.13,71.1,0,1370,81.9,17.4
0.611,30.6,174.2,0.355,595,Li,0.76,-0.725,-1.275,0.455,9.72,0.345,0.851,40.2,O,3579,98.43,91.1,1,1895,94.6,33.4
0.623,28.7,178.6,0.326,577,Li,0.76,-0.686,-1.216,0.418,10.04,0.386,0.923,41.9,O,3579,98.2,89.28,1,1863,93.4,28.8
0.77,15.4,219,0.174,425,Na,1.02,-0.514,-0.974,0.288,11.83,0.604,2.09,58.3,OH,3120,95.18,64.68,0,1198,78.28,8.08
0.558,34.2,161,0.414,613,Li,0.76,-0.744,-1.344,0.474,9.76,0.326,0.698,38.6,O,3579,98.61,92.72,1,1968,95.68,41.98
0.71,21.2,201,0.286,516,K,1.38,-0.584,-1.094,0.346,12.24,0.556,1.438,47.4,F,2950,96.27,71.78,0,1378,82.18,18.78
0.575,40.6,168.8,0.374,591,Li,0.76,-0.806,-1.426,0.514,9.56,0.284,0.608,52.8,O,3579,99.07,93.98,1,2027,96.6,38.28
0.657,24.4,189,0.244,496,Li,0.76,-0.726,-1.286,0.444,10.06,0.344,1.062,44.4,O,3579,97.71,87.38,1,1778,91.68,22.38
0.815,18.4,209,0.144,386,Na,1.02,-0.474,-0.914,0.244,12.06,0.674,2.462,54.4,OH,3120,94.01,60.08,0,1078,73.98,5.98
0.595,29,176,0.356,596,Li,0.76,-0.694,-1.244,0.448,9.96,0.366,0.898,40.6,O,3579,98.49,90.58,1,1878,93.98,32.78
0.737,19.4,204,0.214,466,Na,1.02,-0.544,-1.044,0.304,11.56,0.574,1.822,49.4,F,3120,95.71,68.08,0,1318,80.18,12.48
0.555,38.6,163.8,0.394,617,Li,0.76,-0.774,-1.374,0.494,9.66,0.306,0.668,47,O,3579,98.97,93.18,1,1988,96.08,40.38
0.687,23.3,194,0.294,556,Li,0.76,-0.654,-1.174,0.384,10.26,0.406,1.132,43.4,O,3579,97.41,87.98,1,1813,92.38,26.68
0.745,17.2,214,0.184,406,K,1.38,-0.506,-0.956,0.264,12.16,0.634,2.292,59.4,F,2950,94.71,63.38,0,1148,76.68,9.08
0.593,31,173.2,0.366,601,Li,0.76,-0.724,-1.294,0.466,9.86,0.334,0.828,41.6,O,3579,98.51,91.78,1,1913,94.88,35.08
0.795,19.5,207,0.154,396,Na,1.02,-0.484,-0.924,0.254,11.96,0.654,2.382,56.4,OH,3120,94.41,61.68,0,1098,74.88,6.68
0.565,37.2,167,0.384,611,Li,0.76,-0.776,-1.356,0.484,9.76,0.316,0.698,46.6,O,3579,98.71,93.48,1,1998,96.28,39.68
0.633,28,181,0.336,591,Li,0.76,-0.684,-1.224,0.414,10.06,0.376,0.968,43.6,O,3579,97.91,88.78,1,1858,93.38,29.38
0.705,24.2,197,0.266,511,K,1.38,-0.606,-1.126,0.356,12.14,0.534,1.492,48.4,F,2950,95.91,71.38,0,1388,82.68,18.08
0.613,28,179,0.346,594,Li,0.76,-0.716,-1.266,0.436,9.96,0.356,0.908,41.6,O,3579,98.21,89.88,1,1883,94.08,31.38
0.773,17.7,217,0.166,416,Na,1.02,-0.516,-0.966,0.286,11.96,0.626,2.178,55.1,OH,3120,94.71,62.38,0,1113,76.08,7.28
0.535,37.8,159.4,0.406,621,Li,0.76,-0.786,-1.396,0.506,9.66,0.306,0.658,49.8,O,3579,99.01,93.68,1,2003,96.68,41.08
0.663,27.1,187,0.286,546,Li,0.76,-0.676,-1.186,0.396,10.16,0.386,1.098,43,O,3579,97.61,87.68,1,1798,91.88,25.68
0.735,21.8,200,0.236,486,K,1.38,-0.576,-1.086,0.326,12.46,0.566,1.68,50,F,2950,95.81,69.38,0,1333,80.88,15.08
0.643,27,187,0.306,581,Li,0.76,-0.706,-1.246,0.446,9.96,0.346,0.938,42.6,O,3579,98.11,89.38,1,1868,93.68,27.88
0.793,19.1,210,0.156,391,Na,1.02,-0.506,-0.946,0.266,12.03,0.646,2.35,58.3,OH,3120,94.51,60.88,0,1088,74.68,6.38
0.583,33,171,0.366,604,Li,0.76,-0.766,-1.336,0.486,9.76,0.326,0.718,47.6,O,3579,98.61,92.68,1,1968,95.78,37.08
0.693,22,198,0.276,526,Li,0.76,-0.686,-1.206,0.406,10.23,0.376,1.108,44,O,3579,97.81,88.18,1,1833,92.68,24.38
0.763,20.1,208,0.196,436,K,1.38,-0.536,-1.006,0.296,12.56,0.596,2.05,58,F,2950,95.41,66.68,0,1243,79.08,10.68
0.613,30,174,0.356,598,Li,0.76,-0.726,-1.276,0.456,9.7,0.336,0.838,39,O,3579,98.41,90.88,1,1898,94.68,33.68
0.813,15.4,219,0.136,376,Na,1.02,-0.476,-0.906,0.236,12.26,0.696,2.6,59,OH,3120,93.81,59.08,0,1043,72.88,5.08
